experiment_container_id,session_id,targeted_structure,imaging_depth,number_cells
661437138,662351346,VISp,175,85
661437138,661437140,VISp,175,86
661437138,662358233,VISp,175,102
673144414,674275260,VISpm,375,84
673144414,673475038,VISpm,375,90
673144414,674678616,VISpm,375,97
682734790,683257169,VISp,205,296
682734790,682734792,VISp,205,268
682734790,685494041,VISp,205,295
644947714,645692522,VISpm,175,44
644947714,645687787,VISpm,175,39
644947714,644947716,VISpm,175,44
604328040,607040613,VISrl,375,36
604328040,606873744,VISrl,375,48
604328040,604328043,VISrl,375,52
676503916,676503918,VISl,375,97
676503916,679353932,VISl,375,95
676503916,682051855,VISl,375,102
665413463,665726259,VISpm,375,76
665413463,665307545,VISpm,375,78
665413463,667775371,VISpm,375,120
666589599,667011230,VISp,175,99
666589599,667364442,VISp,175,87
666589599,666589601,VISp,175,89
703308069,703308071,VISpm,375,93
703308069,704821286,VISpm,375,74
703308069,705944402,VISpm,375,75
658854759,662348804,VISl,275,189
658854759,662351068,VISl,275,169
658854759,662356172,VISl,275,185
679700455,682734376,VISpm,275,70
679700455,680601013,VISpm,275,64
679700455,679700458,VISpm,275,92
653125128,653552163,VISp,175,211
653125128,653923501,VISp,175,155
653125128,653125130,VISp,175,224
653551963,653551965,VISl,175,49
653551963,653924226,VISl,175,39
653551963,654533788,VISl,175,43
680156909,682054669,VISp,175,281
680156909,680156911,VISp,175,337
680156909,681673022,VISp,175,267
701046698,703731597,VISpm,275,75
701046698,702934681,VISpm,275,71
701046698,701046700,VISpm,275,82
627823721,637122339,VISam,175,83
627823721,637669284,VISam,175,82
627823721,627823723,VISam,175,78
604576635,605859367,VISal,175,41
604576635,605087965,VISal,175,38
604576635,604576637,VISal,175,38
646016202,646685143,VISl,375,65
646016202,646016204,VISl,375,67
646016202,646291324,VISl,375,62
661732156,663485329,VISp,175,107
661732156,661753184,VISp,175,189
661732156,662989044,VISp,175,121
662219850,666274157,VISl,375,59
662219850,663876890,VISl,375,78
662219850,662219852,VISl,375,83
650389885,650512363,VISp,175,184
650389885,652094901,VISp,175,207
650389885,650389887,VISp,175,181
647155120,647155122,VISp,275,211
647155120,648186871,VISp,275,183
647155120,648389302,VISp,275,190
650885966,652338101,VISl,175,197
650885966,652092892,VISl,175,214
650885966,651770186,VISl,175,214
670721587,671614170,VISpm,375,131
670721587,670721589,VISpm,375,126
670721587,671162646,VISpm,375,114
657391035,657469564,VISpm,275,68
657391035,657391037,VISpm,275,97
657391035,657649356,VISpm,275,75
663488406,666274740,VISl,375,44
663488406,666274171,VISl,375,39
663488406,664914611,VISl,375,35
662358769,662358771,VISl,175,56
662358769,667372460,VISl,175,65
662358769,663488086,VISl,175,35
652736297,653123929,VISl,275,287
652736297,653053920,VISl,275,263
652736297,652989705,VISl,275,271
610222464,612555380,VISl,375,28
610222464,617069979,VISl,375,29
610222464,613091721,VISl,375,35
653126875,653126877,VISpm,175,75
653126875,653175011,VISpm,175,93
653126875,653555156,VISpm,175,72
653122665,653331120,VISp,275,249
653122665,653122667,VISp,275,309
653122665,653173685,VISp,275,252
707923643,711590945,VISl,175,174
707923643,710024283,VISl,175,172
707923643,707923645,VISl,175,192
612536909,613062525,VISrl,175,33
612536909,613586002,VISrl,175,34
612536909,612536911,VISrl,175,45
656939125,657080632,VISp,275,198
656939125,657012597,VISp,275,199
656939125,656939127,VISp,275,228
662974313,663868345,VISp,375,91
662974313,663479950,VISp,375,93
662974313,662974315,VISp,375,89
672207945,673145838,VISl,275,242
672207945,672207947,VISl,275,257
672207945,673475737,VISl,275,253
651366508,653332425,VISl,175,128
651366508,651366510,VISl,175,127
651366508,652737867,VISl,175,127
662172425,665305913,VISpm,175,55
662172425,663876406,VISpm,175,68
662172425,664414452,VISpm,175,46
644013840,644657636,VISl,275,148
644013840,645256361,VISl,275,137
644013840,644908995,VISl,275,132
679702882,679702884,VISp,275,397
679702882,680601319,VISp,275,407
679702882,681674286,VISp,275,343
653932503,656381309,VISp,375,252
653932503,654920038,VISp,375,309
653932503,653932505,VISp,375,261
612555401,626028096,VISam,175,71
612555401,616785862,VISam,175,54
612555401,613599811,VISam,175,56
688678764,691763694,VISp,205,428
688678764,688678766,VISp,205,475
688678764,690045763,VISp,205,347
660065749,663873076,VISp,375,120
660065749,664404274,VISp,375,136
660065749,667376208,VISp,375,117
652842570,653053207,VISp,175,190
652842570,652842572,VISp,175,244
652842570,652988777,VISp,175,222
702956471,707444949,VISl,275,347
702956471,707007273,VISl,275,333
702956471,704822876,VISl,275,307
658536109,658854887,VISp,275,198
658536109,659771301,VISp,275,169
658536109,658536111,VISp,275,209
657014785,662359728,VISpm,275,92
657014785,663475712,VISpm,275,82
657014785,662958642,VISpm,275,81
661744802,662033243,VISp,375,151
661744802,662107986,VISp,375,147
661744802,661744804,VISp,375,120
638753614,638864066,VISpm,175,96
638753614,638753616,VISpm,175,108
638753614,639117826,VISpm,175,97
650389951,652991352,VISpm,175,65
650389951,650510708,VISpm,175,64
650389951,651770794,VISpm,175,58
659746623,659746625,VISp,275,187
659746623,660065134,VISp,275,158
659746623,661328410,VISp,275,214
644061873,644949526,VISl,175,57
644061873,646017558,VISl,175,60
644061873,645700487,VISl,175,47
657082052,657469734,VISp,375,262
657082052,657649672,VISp,375,235
657082052,657082055,VISp,375,261
657785848,658842672,VISpm,375,40
657785848,657785850,VISpm,375,39
657785848,658020989,VISpm,375,40
639253041,639756225,VISal,275,242
639253041,639253043,VISal,275,229
639253041,639931541,VISal,275,182
652096181,652096183,VISpm,375,120
652096181,653058060,VISpm,375,116
652096181,652345569,VISpm,375,129
